level	parent_id	id	name
1	877	71140	Ямало-Ненецкий АО
2	71140	71166	Шурышкарский район
2	71140	71153	Красноселькупский район
2	71140	71158	Приуральский район
2	71140	71156	Надымский район
2	71140	71160	Пуровский район
2	71140	71168	Ямальский район
2	71140	71163	Тазовский район
2	71140	71175	г. Муравленко
2	71140	71178	г. Ноябрьск
2	71140	71172	г. Губкинский
2	71140	71176	г. Новый Уренгой
2	71140	71171	г. Салехард
2	71140	71173	г. Лабытнанги
1	877	71100	Ханты-Мансийский АО
2	71100	71126	Сургутский район
2	71100	71119	Нижневартовский район
2	71100	71129	Ханты-Мансийский район
2	71100	71118	Нефтеюганский район
2	71100	71116	Кондинский район
2	71100	71124	Советский район
2	71100	71121	Октябрьский район
2	71100	71111	Белоярский район
2	71100	71112	Березовский район
2	71100	71183	г. Когалым
2	71100	71132	г. Лангепас
2	71100	71133	г. Мегион
2	71100	71135	г. Нижневартовск
2	71100	71184	г. Покачи
2	71100	71137	г. Радужный
2	71100	71136	г. Сургут
2	71100	71134	г. Нефтеюганск
2	71100	71185	г. Пыть-Ях
2	71100	71138	г. Урай
2	71100	71139	г. Нягань
2	71100	71187	г. Югорск
1	877	71	Тюменская область
2	71	712581	Ярковский район
2	71	712531	Юргинский район
2	71	712501	Упоровский район
2	71	712481	Уватский район
2	71	712381	Сорокинский район
2	71	712361	Сладковский район
2	71	712341	Омутинский район
2	71	712321	Нижнетавдинский район
2	71	712301	Казанский район
2	71	712241	Исетский район
2	71	712181	Голышмановский район
2	71	712151	Викуловский район
2	71	712131	Вагайский район
2	71	712101	Бердюжский район
2	71	712071	Аромашевский район
2	71	712051	Армизонский район
2	71	712031	Абатский район
2	71	712563	Ялуторовский район
2	71	71244	Тюменский район
2	71	71242	Тобольский район
2	71	712261	Ишимский район
2	71	712221	Заводоуковский район
2	71	71401	г. Тюмень
2	71	71410	г. Тобольск
1	877	10011	Ненецкий АО
2	10011	11100	Ненецкий АО
1	877	99	Еврейская автономная область
2	99	99205	Биробиджанский район
2	99	99230	Смидовичский район
2	99	99225	Октябрьский район
2	99	99220	Облученский район
2	99	99210	Ленинский район
2	99	99401	г. Биробиджан
1	877	98	Республика Саха (Якутия)
2	98	98212	Булунский район
2	98	98242	Оленёкский  район
2	98	98210	Анабарский Национальный район
2	98	98222	Жиганский район
2	98	98231	Мирнинский район
2	98	98248	Сунтарский район
2	98	98227	Ленский район
2	98	98226	Нюрбинский район
2	98	98214	Верхневилюйский район
2	98	98259	Эвено-Бытантайский Национальный район
2	98	98216	Верхоянский район
2	98	98218	Вилюйский район
2	98	98220	Горный район
2	98	98224	Кобяйский район
2	98	98203	Алданский район
2	98	98241	Олекминский район
2	98	98206	Аллаиховский район
2	98	98201	Абыйский район
2	98	98256	Усть-Янский район
2	98	98237	Нижнеколымский район
2	98	98246	Среднеколымский район
2	98	98215	Верхнеколымский район
2	98	98233	Момский Национальный район
2	98	98239	Оймяконский район
2	98	98401	г. Якутск
2	98	98235	Намский район
2	98	98252	Усть-Алданский район
2	98	98254	Усть-Майский район
2	98	98250	Томпонский район
2	98	98229	Мегино-Кангаласский район
2	98	98204	Таттинскийрайон
2	98	98258	Чурапчинский район
2	98	98111	Нерюнгринский район
2	98	98208	Амгинский район
2	98	98244	Хангаласский район
1	877	97	Чувашская Республика
2	97	97258	Янтиковский район
2	97	97255	Яльчикский район
2	97	97253	Ядринский район
2	97	97247	 Шемуршинский район
2	97	97241	Цивильский район
2	97	97238	Урмарский район
2	97	97235	Порецкий район
2	97	97232	Моргаушский район
2	97	97229	Мариинско-Посадский район
2	97	97226	Красночетайский район
2	97	97224	Красноармейский район
2	97	97221	Комсомольский район
2	97	97219	Козловский район
2	97	97213	Ибресинский район
2	97	97210	Вурнарский район
2	97	97207	Батыревский район
2	97	97205	Аликовский район
2	97	97250	Шумерлинский район
2	97	97216	Канашский район
2	97	97244	Чебоксарский район
2	97	97203	Алатырский район
2	97	97407	г. Канаш
2	97	97410	г. Новочебоксарск
2	97	97401	г. Чебоксары
1	877	96	Чеченская Республика
2	96	96013	Шаройский район
2	96	96009	Ножай-Юртовский район
2	96	96002	Веденский районд
2	96	96014	Шатойский район
2	96	96005	Итум-Калинский район
2	96	96006	Курчалоевский район
2	96	96011	Урус-Мартановский район
2	96	96001	Ачхой-Мартановский район
2	96	96010	Сунженский район
2	96	96007	Надтеречный район
2	96	96015	Шелковской район
2	96	96008	Наурский район
2	96	96003	Гронзенский район
2	96	96012	Шалинский район
2	96	96004	Гудермесский район
2	96	96401	Грозный
2	96	96402	Аргун
1	877	95	Республика Хакасия
2	95	95225	Таштапский район
2	95	95212	Бейский район
2	95	95230	Усть-Абаканский район
2	95	95235	Ширинский район
2	95	95220	Орджоникидзевский район
2	95	95215	Боградский район
2	95	95208	Аскизский район
2	95	95205	Алтайский район
2	95	95402	г. Абаза
2	95	95408	г. Саяногорск
2	95	95401	г. Абакан
2	95	95415	г. Черногорск
2	95	95409	г. Сорск
1	877	94	Удмуртская Республика
2	94	94401	г. Ижевск
2	94	94252	Ярский район
2	94	94250	Якшур-Бодьинский район
2	94	94248	Юкаменский район
2	94	94246	Шарканский район
2	94	94244	Увинский район
2	94	94241	Сюмский район
2	94	94239	Селтинский район
2	94	94233	Малопургинский район
2	94	94230	Красногорский район
2	94	94228	Киясовский район
2	94	94226	Кизнерский район
2	94	94224	Кезский район
2	94	94222	Каракулинский район
2	94	94220	Камбарский район
2	94	94218	Игринский район
2	94	94216	Завьяловский район
2	94	94214	Дебесский район
2	94	94212	Граховский район
2	94	94206	Вавожский район
2	94	94204	Балезинский район
2	94	94237	Сарапульский район
2	94	94210	Глазовский район
2	94	94208	Воткинский район
2	94	94235	Можгинский район
2	94	94202	Алнашский район
2	94	94440	г.Сарапул
2	94	94430	г.Можга
2	94	94420	г.Глазов
2	94	94410	г.Воткинск
1	877	93	Республика Тыва
2	93	93401	г.Кызыл
2	93	93222	Кызылский кожуун
2	93	93258	Эрзинский кожуун
2	93	93257	Чеди-Хольский кожуун
2	93	93256	Чаа-Хольский кожуун
2	93	93254	Улуг-Хемский кожуун
2	93	93250	Тоджинский кожуун
2	93	93245	Тес-Хемский кожуун
2	93	93243	Тере-Хольский кожуун
2	93	93240	Тандинский кожуун
2	93	93238	Сут-Хольский кожуун
2	93	93235	Пий-Хемский кожуун
2	93	93230	Овюрский кожуун
2	93	93225	Монгун-Тайгинский кожуун
2	93	93220	Каа-Хемский кожуун
2	93	93215	Дзун-Хемчикский кожуун
2	93	93205	Бай-Тайгинский кожуун
2	93	93210	Барун-Хемчикский кожуун
2	93	93403	г. Ак-Довурак
1	877	92	Республика Татарстан
2	92	92256	Тюлячинский район
2	92	92254	Ютазинский район
2	92	92258	Черемшанский район
2	92	92253	Сармановский район
2	92	92252	Сабинский район
2	92	92248	Пестречинский район
2	92	922461	Нурлатский район
2	92	92245	Новошешминский район
2	92	92242	Муслюмовский район
2	92	92236	Лениногорский район
2	92	92233	Кукморский район
2	92	92229	Кайбицкий район
2	92	92227	Заинский район
2	92	92224	Дрожжановский район
2	92	92222	Высокогорский район
2	92	92218	Буинский район
2	92	92217	Бугульминский район
2	92	92215	Балтасинский район
2	92	92214	Бавлинский район
2	92	92213	Атнинский район
2	92	92212	Арский район
2	92	92210	Апастовский район
2	92	92208	Альметьевский район
2	92	92207	Алькеевский район
2	92	92204	Аксубаевский район
2	92	92202	Азнакаевский район
2	92	92255	Тетюшский район
2	92	92232	Спасский район
2	92	92206	Алексеевский район
2	92	92259	Чистопольский район
2	92	92238	Мамадышский район
2	92	92244	Нижнекамский район
2	92	92226	Елабужский район
2	92	92201	Агрызский район
2	92	92240	Мензелинский район
2	92	92205	Актанышский район
2	92	92250	Рыбно-Слободский район
2	92	92230	Камско-Устьинский район
2	92	92220	Верхнеуслонский район
2	92	92401	г. Казань
2	92	92234	Лаишевский район
2	92	92239	Менделеевский район
2	92	92228	Зеленодольский район
2	92	92257	Тукаевский район
2	92	92430	г. Набережные Челны
1	877	91	Карачаево-Черкесская Республика
2	91	91230	Прикубанский район
2	91	91225	Адыге-Хабальский район
2	91	91215	Карачаевский район
2	91	91405	г.Черкесск
2	91	91203	Хазбесский район
2	91	91240	Усть-Джегутинский район
2	91	91235	Урупский район
2	91	91220	Малокарачаевский район
2	91	91210	Зеленчукский район
2	91	1	Ногайский район
2	91	91201	Абазинский район
2	91	61405	г.Карачаевск
1	877	90	Республика Северная Осетия - Алания
2	90	90401	г. Владикавказ
2	90	90240	Пригородный район
2	90	90235	Правобережный район
2	90	90230	Моздокский район
2	90	90225	Кировский район
2	90	90220	Ирафский район
2	90	90215	Дигорский район
2	90	90210	Ардонский район
2	90	90205	Алагирский район
1	877	84	Республика Алтай
2	84	84215	Майминский район
2	84	84240	Усть-Коксинский район
2	84	84235	Усть-Канский район
2	84	84250	Шебалинский район
2	84	84243	Чемальский район
2	84	84220	Онгудайский район
2	84	84245	Чойцкий район
2	84	84225	Турочакский район
2	84	84230	Улаганский район
2	84	84210	Кош-Агачский район
2	84	84401	г. Горно-Алтайск
1	877	83	Кабардино-Балкарская Республика
2	83	83401	г.Нальчик
2	83	83248	Баксанский район
2	83	83230	Зольский район
2	83	83245	Лескенский район
2	83	83240	Майский район
2	83	83235	Прохладненский район
2	83	83225	Терский район
2	83	83220	Урванский район
2	83	83218	Чегемский район
2	83	83215	Черекский район
2	83	83210	Эльбрусский район
2	83	83410	г.Прохладный
1	877	82	Республика Дагестан
2	82	82401	г.Махачкала
2	82	82249	Тарумовский район
2	82	82207	Бабаюртовский район
2	82	82236	Кумторкалинский район
2	82	82221	Докузпаринский район
2	82	82206	Ахтынский район
2	82	82230	Курахский район
2	82	82201	Агульский район
2	82	82247	Сулейман-Стальский район
2	82	82237	Магарамкентский район
2	82	82255	Хивский район
2	82	82242	Рутульский район
2	82	82232	Лакский район
2	82	82216	Гунибский район
2	82	82259	Чародинский район
2	82	82251	Тляратинский район
2	82	82258	Цунтинский район
2	82	82257	Цумадинский район
2	82	82229	Кулинский район
2	82	82248	Табасаранский район
2	82	82218	Дахадаевский район
2	82	82203	Акушинский район
2	82	82234	Левашинский район
2	82	82205	Ахвахский район
2	82	82246	Шамильский район
2	82	82256	Хунзахский район
2	82	82209	Ботлихский район
2	82	82213	Гергебильский район
2	82	82253	Унцукульский район
2	82	82215	Гумбетовский район
2	82	82222	Казбековский район
2	82	82223	Кайтагский район
2	82	82239	Новолакский район
2	82	82244	Сергокалинский район
2	82	82240	Ногайский район
2	82	82227	Кизлярский район
2	82	82254	Хасавюртовский район
2	82	82226	Кизилюртовский район
2	82	82211	Буйнакский район
2	82	82235	Карабудахкентский район
2	82	82220	Дербентский район
2	82	82224	Каякентский район
2	82	82438	г.Южно-Сухокумск
2	82	82430	г.Кизляр
2	82	82435	г.Хасавюрт
2	82	82425	г.Кизилюрт
2	82	82405	г.Буйнакск
2	82	82420	г.Каспийск
2	82	82415	г.Избербаш
2	82	82408	г.Дагестанские Огни
2	82	82410	г.Дербент
1	877	81	Республика Бурятия
2	81	81257	Хоринский район
2	81	81251	Тункинскийрайон
2	81	81248	Селенгинский район
2	81	81242	Прибайкальский район
2	81	81239	Окинский район
2	81	81236	Мухоршибирский район
2	81	81235	Муйский район
2	81	81233	Кяхтинский район
2	81	81230	Курумканский район
2	81	81227	Кижингинский район
2	81	81224	Кабанский район
2	81	81221	Закаменский район
2	81	81218	Заиграевский район
2	81	81215	Еравнинский район
